Cluster File,GO Term,GO ID,P-Value
0,Nuclear Events (kinase and transcription factor activation),REAC:R-MMU-198725,0.049958035
0,Stimuli-sensing channels,REAC:R-MMU-2672351,0.049958035
0,Regulation of TP53 Activity,REAC:R-MMU-5633007,0.049958035
0,Regulation of TP53 Degradation,REAC:R-MMU-6804757,0.049958035
0,Regulation of TP53 Expression and Degradation,REAC:R-MMU-6806003,0.049958035
0,NGF-stimulated transcription,REAC:R-MMU-9031628,0.049958035
0,Mechanisms associated with pluripotency,WP:WP1763,0.049954042
0,IL-6 signaling pathway,WP:WP387,0.049954042
0,Insulin signaling,WP:WP65,0.049954042
1,Parvulin-associated pre-rRNP complex,CORUM:3047,0.000599834
1,cytoplasmic translation,GO:0002181,0.016501045
1,cytosolic ribosome,GO:0022626,2.95435E-05
1,ribosome,GO:0005840,0.003785703
1,cytosolic large ribosomal subunit,GO:0022625,0.006374808
1,ribosomal subunit,GO:0044391,0.012310451
1,cell junction,GO:0030054,0.039987284
1,structural molecule activity,GO:0005198,1.04238E-06
1,structural constituent of ribosome,GO:0003735,0.000372456
1,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),REAC:R-MMU-975956,1.00761E-05
1,Nonsense-Mediated Decay (NMD),REAC:R-MMU-927802,1.00761E-05
1,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),REAC:R-MMU-975957,1.00761E-05
1,SRP-dependent cotranslational protein targeting to membrane,REAC:R-MMU-1799339,1.00761E-05
1,rRNA processing in the nucleus and cytosol,REAC:R-MMU-8868773,2.36821E-05
1,rRNA processing,REAC:R-MMU-72312,2.36821E-05
1,Major pathway of rRNA processing in the nucleolus and cytosol,REAC:R-MMU-6791226,2.36821E-05
1,L13a-mediated translational silencing of Ceruloplasmin expression,REAC:R-MMU-156827,0.000491587
1,Formation of a pool of free 40S subunits,REAC:R-MMU-72689,0.000491587
1,GTP hydrolysis and joining of the 60S ribosomal subunit,REAC:R-MMU-72706,0.000491587
1,Eukaryotic Translation Initiation,REAC:R-MMU-72613,0.001812059
1,Cap-dependent Translation Initiation,REAC:R-MMU-72737,0.001812059
1,Translation,REAC:R-MMU-72766,0.016461338
1,Metabolism of RNA,REAC:R-MMU-8953854,0.031808658
1,Cytoplasmic ribosomal proteins,WP:WP163,1.36501E-05
2,lens development in camera-type eye,GO:0002088,0.04969191
2,amyloid fibril formation,GO:1990000,0.04969191
2,negative regulation of amyloid fibril formation,GO:1905907,0.04969191
