Cluster File,GO Term,GO ID,P-Value
0,Signal Transduction,REAC:R-MMU-162582,0.004543183
0,Signaling by Receptor Tyrosine Kinases,REAC:R-MMU-9006934,0.049975012
2,protein-containing complex binding,GO:0044877,0.013824068
2,Chemokine signaling pathway,WP:WP2292,0.013772429
2,G protein signaling pathways,WP:WP232,0.013772429
3,Skin ulcer,HP:0200042,0.049960531
3,RHO GTPase Effectors,REAC:R-MMU-195258,0.049787656
3,Mechanisms associated with pluripotency,WP:WP1763,0.049988146
3,IL-6 signaling pathway,WP:WP387,0.049988146
7,animal organ morphogenesis,GO:0009887,0.04995005
7,muscle tissue development,GO:0060537,0.04995005
7,Striated Muscle Contraction,REAC:R-MMU-390522,0.049935084
7,Muscle contraction,REAC:R-MMU-397014,0.049935084
7,Smooth Muscle Contraction,REAC:R-MMU-445355,0.049935084
