Cluster File,GO Term,GO ID,P-Value
2,sequestering of iron ion,GO:0097577,0.049951048
2,negative regulation of fibroblast proliferation,GO:0048147,0.049951048
2,intracellular sequestering of iron ion,GO:0006880,0.049951048
2,intracellular iron ion homeostasis,GO:0006879,0.049951048
2,secondary lysosome,GO:0005767,0.049906176
2,autolysosome,GO:0044754,0.049906176
2,endocytic vesicle lumen,GO:0071682,0.049906176
2,"oxidoreductase activity, acting on metal ions, oxygen as acceptor",GO:0016724,0.049906176
2,"oxidoreductase activity, acting on metal ions",GO:0016722,0.049906176
2,ferric iron binding,GO:0008199,0.049906176
2,ferrous iron binding,GO:0008198,0.049906176
2,iron ion binding,GO:0005506,0.049906176
2,ferroxidase activity,GO:0004322,0.049906176
2,Increased circulating ferritin concentration,HP:0003281,0.04995005
2,Abnormal circulating ferritin concentration,HP:0040133,0.04995005
2,trans-Golgi Network Vesicle Budding,REAC:R-MMU-199992,0.049960531
2,Golgi Associated Vesicle Biogenesis,REAC:R-MMU-432722,0.049960531
2,Iron homeostasis,WP:WP1596,0.04969191
3,IL-6 signaling pathway,WP:WP387,0.05
5,Metabolism,REAC:R-MMU-1430728,0.03548
6,sequestering of metal ion,GO:0051238,0.049915144
6,negative regulation of fibroblast proliferation,GO:0048147,0.049915144
6,intracellular sequestering of iron ion,GO:0006880,0.049915144
6,intracellular iron ion homeostasis,GO:0006879,0.049915144
6,iron ion transport,GO:0006826,0.049915144
6,sequestering of iron ion,GO:0097577,0.049915144
6,transition metal ion transport,GO:0000041,0.049915144
6,secondary lysosome,GO:0005767,0.049996
6,autolysosome,GO:0044754,0.049996
6,endocytic vesicle lumen,GO:0071682,0.049996
6,"oxidoreductase activity, acting on metal ions, oxygen as acceptor",GO:0016724,0.049906176
6,"oxidoreductase activity, acting on metal ions",GO:0016722,0.049906176
6,ferric iron binding,GO:0008199,0.049906176
6,ferrous iron binding,GO:0008198,0.049906176
6,iron ion binding,GO:0005506,0.049906176
6,ferroxidase activity,GO:0004322,0.049906176
6,Increased circulating ferritin concentration,HP:0003281,0.049995
6,Abnormal circulating ferritin concentration,HP:0040133,0.049995
6,Golgi Associated Vesicle Biogenesis,REAC:R-MMU-432722,0.049966023
6,trans-Golgi Network Vesicle Budding,REAC:R-MMU-199992,0.049966023
6,Iron homeostasis,WP:WP1596,0.049603175
7,Gata1-Fog1-MeCP1 complex,CORUM:2750,0.049880287
7,PYR complex,CORUM:572,0.049880287
7,Nkx3.2-SMAD1-SMAD4-HDAC-Sin3A complex,CORUM:2984,0.049880287
7,nucleoplasm,GO:0005654,0.002828576
7,nuclear lumen,GO:0031981,0.033403474
7,intracellular organelle lumen,GO:0070013,0.049871293
7,organelle lumen,GO:0043233,0.049871293
7,membrane-enclosed lumen,GO:0031974,0.049871293
7,Abdominal colic,HP:0011848,0.04982561
7,Macroscopic hematuria,HP:0012587,0.04982561
7,Abnormal circulating creatinine concentration,HP:0012100,0.04982561
7,Flank pain,HP:0030157,0.04982561
7,Decreased urine output,HP:0011037,0.04982561
7,Abnormality of renal excretion,HP:0011036,0.04982561
7,Elevated circulating creatinine concentration,HP:0003259,0.04982561
7,Acute kidney injury,HP:0001919,0.04982561
7,Urinary hesitancy,HP:0000019,0.04982561
7,Abnormal urine output,HP:0012590,0.04982561
7,Urinary retention,HP:0000016,0.04982561
7,Urolithiasis,HP:0034368,0.04982561
7,Oliguria,HP:0100520,0.04982561
7,Uric acid nephrolithiasis,HP:0000791,0.04982561
7,Crystalluria,HP:0020074,0.04982561
7,Generic Transcription Pathway,REAC:R-MMU-212436,0.049920958
7,RMTs methylate histone arginines,REAC:R-MMU-3214858,0.049920958
7,Chromatin modifying enzymes,REAC:R-MMU-3247509,0.049920958
7,Transcriptional Regulation by TP53,REAC:R-MMU-3700989,0.049920958
7,Chromatin organization,REAC:R-MMU-4839726,0.049920958
7,Regulation of TP53 Activity,REAC:R-MMU-5633007,0.049920958
7,RNA Polymerase II Transcription,REAC:R-MMU-73857,0.049920958
7,Gene expression (Transcription),REAC:R-MMU-74160,0.049920958
8,amide metabolic process,GO:0043603,0.013471768
8,organonitrogen compound biosynthetic process,GO:1901566,0.049677126
